Data_value	Series_title_1	Series_title_2	Series_title_3
2368.69	Basic material wholesaling	Sales (operating income)	Unadjusted
2100.44	Basic material wholesaling	Sales (operating income)	Unadjusted
2070.21	Basic material wholesaling	Sales (operating income)	Unadjusted
2284.77	Basic material wholesaling	Sales (operating income)	Unadjusted
2134.76	Basic material wholesaling	Sales (operating income)	Unadjusted
2038.45	Basic material wholesaling	Sales (operating income)	Unadjusted
2031.17	Basic material wholesaling	Sales (operating income)	Unadjusted
2263.97	Basic material wholesaling	Sales (operating income)	Unadjusted
1997.05	Basic material wholesaling	Sales (operating income)	Unadjusted
2025.13	Basic material wholesaling	Sales (operating income)	Unadjusted
2009.55	Basic material wholesaling	Sales (operating income)	Unadjusted
2199.21	Basic material wholesaling	Sales (operating income)	Unadjusted
2081.28	Basic material wholesaling	Sales (operating income)	Unadjusted
2074.51	Basic material wholesaling	Sales (operating income)	Unadjusted
1945.92	Basic material wholesaling	Sales (operating income)	Unadjusted
2174.62	Basic material wholesaling	Sales (operating income)	Unadjusted
2041.11	Basic material wholesaling	Sales (operating income)	Unadjusted
2086.81	Basic material wholesaling	Sales (operating income)	Unadjusted
2189.79	Basic material wholesaling	Sales (operating income)	Unadjusted
2285.29	Basic material wholesaling	Sales (operating income)	Unadjusted
2222.68	Basic material wholesaling	Sales (operating income)	Unadjusted
2281.39	Basic material wholesaling	Sales (operating income)	Unadjusted
2314.49	Basic material wholesaling	Sales (operating income)	Unadjusted
2725.07	Basic material wholesaling	Sales (operating income)	Unadjusted
2455.79	Basic material wholesaling	Sales (operating income)	Unadjusted
2656.11	Basic material wholesaling	Sales (operating income)	Unadjusted
2654.37	Basic material wholesaling	Sales (operating income)	Unadjusted
2745.46	Basic material wholesaling	Sales (operating income)	Unadjusted
2652.62	Basic material wholesaling	Sales (operating income)	Unadjusted
2682.44	Basic material wholesaling	Sales (operating income)	Unadjusted
2728.65	Basic material wholesaling	Sales (operating income)	Unadjusted
2829.27	Basic material wholesaling	Sales (operating income)	Unadjusted
2544.22	Basic material wholesaling	Sales (operating income)	Unadjusted
2558.36	Basic material wholesaling	Sales (operating income)	Unadjusted
2576.08	Basic material wholesaling	Sales (operating income)	Unadjusted
2812.78	Basic material wholesaling	Sales (operating income)	Unadjusted
2553.85	Basic material wholesaling	Sales (operating income)	Unadjusted
2839.01	Basic material wholesaling	Sales (operating income)	Unadjusted
2944.86	Basic material wholesaling	Sales (operating income)	Unadjusted
3127.86	Basic material wholesaling	Sales (operating income)	Unadjusted
2866.78	Basic material wholesaling	Sales (operating income)	Unadjusted
3136.88	Basic material wholesaling	Sales (operating income)	Unadjusted
3191.08	Basic material wholesaling	Sales (operating income)	Unadjusted
3368.75	Basic material wholesaling	Sales (operating income)	Unadjusted
3159.73	Basic material wholesaling	Sales (operating income)	Unadjusted
3326.03	Basic material wholesaling	Sales (operating income)	Unadjusted
3644.39	Basic material wholesaling	Sales (operating income)	Unadjusted
3726.87	Basic material wholesaling	Sales (operating income)	Unadjusted
3409.54	Basic material wholesaling	Sales (operating income)	Unadjusted
3590.18	Basic material wholesaling	Sales (operating income)	Unadjusted
3751.05	Basic material wholesaling	Sales (operating income)	Unadjusted
